data,Subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub,Estimated Emotion
casme2,sub01,EP02_01f,1,46,59,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img59.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
casme2,sub01,EP03_02,4,131,139,161,casme2/sub01/EP03_02/img131.jpg,casme2/sub01/EP03_02/img139.jpg,casme2/sub01/EP03_02/img161.jpg,casme2_sub01,others
casme2,sub01,EP04_02,4,21,54,76,casme2/sub01/EP04_02/img21.jpg,casme2/sub01/EP04_02/img54.jpg,casme2/sub01/EP04_02/img76.jpg,casme2_sub01,others
casme2,sub01,EP04_03,4,31,41,56,casme2/sub01/EP04_03/img31.jpg,casme2/sub01/EP04_03/img41.jpg,casme2/sub01/EP04_03/img56.jpg,casme2_sub01,others
casme2,sub01,EP04_04,4,23,49,66,casme2/sub01/EP04_04/img23.jpg,casme2/sub01/EP04_04/img49.jpg,casme2/sub01/EP04_04/img66.jpg,casme2_sub01,others
casme2,sub01,EP19_01,4,26,49,66,casme2/sub01/EP19_01/img26.jpg,casme2/sub01/EP19_01/img49.jpg,casme2/sub01/EP19_01/img66.jpg,casme2_sub01,others
casme2,sub01,EP19_03f,4,81,96,161,casme2/sub01/EP19_03f/img81.jpg,casme2/sub01/EP19_03f/img96.jpg,casme2/sub01/EP19_03f/img161.jpg,casme2_sub01,others
casme2,sub01,EP19_05f,0,396,416,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img416.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
casme2,sub01,EP19_06f,0,36,71,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img71.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
casme2,sub02,EP01_11f,3,46,91,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img91.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
casme2,sub02,EP02_04f,3,31,79,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img79.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
casme2,sub02,EP03_02f,3,16,81,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img81.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
casme2,sub02,EP06_01f,3,56,121,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img121.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
casme2,sub02,EP06_02f,3,36,64,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img64.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
casme2,sub02,EP08_04,4,16,69,106,casme2/sub02/EP08_04/img16.jpg,casme2/sub02/EP08_04/img69.jpg,casme2/sub02/EP08_04/img106.jpg,casme2_sub02,others
casme2,sub02,EP09_01,1,26,56,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img56.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
casme2,sub02,EP09_06f,4,11,49,151,casme2/sub02/EP09_06f/img11.jpg,casme2/sub02/EP09_06f/img49.jpg,casme2/sub02/EP09_06f/img151.jpg,casme2_sub02,others
casme2,sub02,EP09_10,4,26,36,66,casme2/sub02/EP09_10/img26.jpg,casme2/sub02/EP09_10/img36.jpg,casme2/sub02/EP09_10/img66.jpg,casme2_sub02,others
casme2,sub02,EP11_01,2,16,69,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img69.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
casme2,sub02,EP13_04,2,21,51,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img51.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
