data,Subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub,Estimated Emotion
casme2,sub01,EP02_01f,1,46,59,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img59.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
casme2,sub01,EP19_05f,0,396,416,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img416.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
casme2,sub01,EP19_06f,0,36,71,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img71.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
casme2,sub02,EP01_11f,0,46,91,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img91.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
casme2,sub02,EP02_04f,0,31,79,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img79.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
casme2,sub02,EP03_02f,0,16,81,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img81.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
casme2,sub02,EP06_01f,0,56,121,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img121.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
casme2,sub02,EP06_02f,0,36,64,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img64.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
casme2,sub02,EP09_01,1,26,56,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img56.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
casme2,sub02,EP11_01,2,16,69,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img69.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
casme2,sub02,EP13_04,2,21,51,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img51.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
casme2,sub02,EP14_01,2,81,114,126,casme2/sub02/EP14_01/img81.jpg,casme2/sub02/EP14_01/img114.jpg,casme2/sub02/EP14_01/img126.jpg,casme2_sub02,surprise
casme2,sub03,EP01_2,2,51,69,91,casme2/sub03/EP01_2/img51.jpg,casme2/sub03/EP01_2/img69.jpg,casme2/sub03/EP01_2/img91.jpg,casme2_sub03,surprise
casme2,sub03,EP07_04,0,21,81,106,casme2/sub03/EP07_04/img21.jpg,casme2/sub03/EP07_04/img81.jpg,casme2/sub03/EP07_04/img106.jpg,casme2_sub03,disgust
casme2,sub03,EP09_03,0,61,76,121,casme2/sub03/EP09_03/img61.jpg,casme2/sub03/EP09_03/img76.jpg,casme2/sub03/EP09_03/img121.jpg,casme2_sub03,disgust
casme2,sub03,EP18_06,0,26,81,126,casme2/sub03/EP18_06/img26.jpg,casme2/sub03/EP18_06/img81.jpg,casme2/sub03/EP18_06/img126.jpg,casme2_sub03,disgust
casme2,sub03,EP19_08,0,101,121,141,casme2/sub03/EP19_08/img101.jpg,casme2/sub03/EP19_08/img121.jpg,casme2/sub03/EP19_08/img141.jpg,casme2_sub03,disgust
casme2,sub04,EP12_01f,0,261,321,321,casme2/sub04/EP12_01f/img261.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2_sub04,disgust
casme2,sub04,EP12_02f,0,356,387,406,casme2/sub04/EP12_02f/img356.jpg,casme2/sub04/EP12_02f/img387.jpg,casme2/sub04/EP12_02f/img406.jpg,casme2_sub04,disgust
casme2,sub04,EP13_06f,0,71,108,161,casme2/sub04/EP13_06f/img71.jpg,casme2/sub04/EP13_06f/img108.jpg,casme2/sub04/EP13_06f/img161.jpg,casme2_sub04,disgust
casme2,sub05,EP02_07,2,36,66,101,casme2/sub05/EP02_07/img36.jpg,casme2/sub05/EP02_07/img66.jpg,casme2/sub05/EP02_07/img101.jpg,casme2_sub05,surprise
casme2,sub05,EP03_01,1,41,81,101,casme2/sub05/EP03_01/img41.jpg,casme2/sub05/EP03_01/img81.jpg,casme2/sub05/EP03_01/img101.jpg,casme2_sub05,happiness
casme2,sub05,EP03_06,2,33,66,83,casme2/sub05/EP03_06/img33.jpg,casme2/sub05/EP03_06/img66.jpg,casme2/sub05/EP03_06/img83.jpg,casme2_sub05,surprise
casme2,sub05,EP04_05,2,16,44,66,casme2/sub05/EP04_05/img16.jpg,casme2/sub05/EP04_05/img44.jpg,casme2/sub05/EP04_05/img66.jpg,casme2_sub05,surprise
casme2,sub05,EP04_06,2,6,49,91,casme2/sub05/EP04_06/img6.jpg,casme2/sub05/EP04_06/img49.jpg,casme2/sub05/EP04_06/img91.jpg,casme2_sub05,surprise
casme2,sub05,EP09_05f,0,69,69,123,casme2/sub05/EP09_05f/img69.jpg,casme2/sub05/EP09_05f/img69.jpg,casme2/sub05/EP09_05f/img123.jpg,casme2_sub05,disgust
casme2,sub05,EP12_03f,2,11,36,61,casme2/sub05/EP12_03f/img11.jpg,casme2/sub05/EP12_03f/img36.jpg,casme2/sub05/EP12_03f/img61.jpg,casme2_sub05,surprise
casme2,sub06,EP01_01,1,81,111,136,casme2/sub06/EP01_01/img81.jpg,casme2/sub06/EP01_01/img111.jpg,casme2/sub06/EP01_01/img136.jpg,casme2_sub06,happiness
casme2,sub06,EP02_31,2,99,131,148,casme2/sub06/EP02_31/img99.jpg,casme2/sub06/EP02_31/img131.jpg,casme2/sub06/EP02_31/img148.jpg,casme2_sub06,surprise
casme2,sub06,EP15_02,2,56,79,106,casme2/sub06/EP15_02/img56.jpg,casme2/sub06/EP15_02/img79.jpg,casme2/sub06/EP15_02/img106.jpg,casme2_sub06,surprise
casme2,sub06,EP16_05,0,94,114,151,casme2/sub06/EP16_05/img94.jpg,casme2/sub06/EP16_05/img114.jpg,casme2/sub06/EP16_05/img151.jpg,casme2_sub06,disgust
casme2,sub07,EP01_01,0,79,109,156,casme2/sub07/EP01_01/img79.jpg,casme2/sub07/EP01_01/img109.jpg,casme2/sub07/EP01_01/img156.jpg,casme2_sub07,disgust
casme2,sub07,EP06_02_01,0,11,66,91,casme2/sub07/EP06_02_01/img11.jpg,casme2/sub07/EP06_02_01/img66.jpg,casme2/sub07/EP06_02_01/img91.jpg,casme2_sub07,disgust
casme2,sub07,EP06_02_02,0,36,81,91,casme2/sub07/EP06_02_02/img36.jpg,casme2/sub07/EP06_02_02/img81.jpg,casme2/sub07/EP06_02_02/img91.jpg,casme2_sub07,disgust
casme2,sub07,EP08_02,0,141,174,191,casme2/sub07/EP08_02/img141.jpg,casme2/sub07/EP08_02/img174.jpg,casme2/sub07/EP08_02/img191.jpg,casme2_sub07,disgust
casme2,sub07,EP15_01,0,36,64,91,casme2/sub07/EP15_01/img36.jpg,casme2/sub07/EP15_01/img64.jpg,casme2/sub07/EP15_01/img91.jpg,casme2_sub07,disgust
casme2,sub08,EP13_01f,0,49,86,126,casme2/sub08/EP13_01f/img49.jpg,casme2/sub08/EP13_01f/img86.jpg,casme2/sub08/EP13_01f/img126.jpg,casme2_sub08,repression
casme2,sub09,EP02_01f,1,21,74,91,casme2/sub09/EP02_01f/img21.jpg,casme2/sub09/EP02_01f/img74.jpg,casme2/sub09/EP02_01f/img91.jpg,casme2_sub09,happiness
casme2,sub09,EP05_05,1,46,84,96,casme2/sub09/EP05_05/img46.jpg,casme2/sub09/EP05_05/img84.jpg,casme2/sub09/EP05_05/img96.jpg,casme2_sub09,happiness
casme2,sub09,EP06_01f,0,66,144,186,casme2/sub09/EP06_01f/img66.jpg,casme2/sub09/EP06_01f/img144.jpg,casme2/sub09/EP06_01f/img186.jpg,casme2_sub09,repression
casme2,sub09,EP06_02f,1,36,101,131,casme2/sub09/EP06_02f/img36.jpg,casme2/sub09/EP06_02f/img101.jpg,casme2/sub09/EP06_02f/img131.jpg,casme2_sub09,happiness
casme2,sub09,EP09_04,0,26,71,146,casme2/sub09/EP09_04/img26.jpg,casme2/sub09/EP09_04/img71.jpg,casme2/sub09/EP09_04/img146.jpg,casme2_sub09,repression
