,data,Subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub,Estimated Emotion
0,casme2,sub01,EP02_01f,1,46,57,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img57.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
1,casme2,sub01,EP02_01f,1,46,58,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img58.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
2,casme2,sub01,EP02_01f,1,46,60,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img60.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
3,casme2,sub01,EP02_01f,1,46,61,86,casme2/sub01/EP02_01f/img46.jpg,casme2/sub01/EP02_01f/img61.jpg,casme2/sub01/EP02_01f/img86.jpg,casme2_sub01,happiness
4,casme2,sub01,EP03_02,4,131,137,161,casme2/sub01/EP03_02/img131.jpg,casme2/sub01/EP03_02/img137.jpg,casme2/sub01/EP03_02/img161.jpg,casme2_sub01,others
5,casme2,sub01,EP03_02,4,131,138,161,casme2/sub01/EP03_02/img131.jpg,casme2/sub01/EP03_02/img138.jpg,casme2/sub01/EP03_02/img161.jpg,casme2_sub01,others
6,casme2,sub01,EP03_02,4,131,140,161,casme2/sub01/EP03_02/img131.jpg,casme2/sub01/EP03_02/img140.jpg,casme2/sub01/EP03_02/img161.jpg,casme2_sub01,others
7,casme2,sub01,EP03_02,4,131,141,161,casme2/sub01/EP03_02/img131.jpg,casme2/sub01/EP03_02/img141.jpg,casme2/sub01/EP03_02/img161.jpg,casme2_sub01,others
8,casme2,sub01,EP04_02,4,21,52,76,casme2/sub01/EP04_02/img21.jpg,casme2/sub01/EP04_02/img52.jpg,casme2/sub01/EP04_02/img76.jpg,casme2_sub01,others
9,casme2,sub01,EP04_02,4,21,53,76,casme2/sub01/EP04_02/img21.jpg,casme2/sub01/EP04_02/img53.jpg,casme2/sub01/EP04_02/img76.jpg,casme2_sub01,others
10,casme2,sub01,EP04_02,4,21,55,76,casme2/sub01/EP04_02/img21.jpg,casme2/sub01/EP04_02/img55.jpg,casme2/sub01/EP04_02/img76.jpg,casme2_sub01,others
11,casme2,sub01,EP04_02,4,21,56,76,casme2/sub01/EP04_02/img21.jpg,casme2/sub01/EP04_02/img56.jpg,casme2/sub01/EP04_02/img76.jpg,casme2_sub01,others
